,seed_keyword,suggested_queries,suggestion_relevance,suggestion_subtypes,suggestion_type
0,car freshies business,car freshies business names,1250,[512],QUERY
1,car freshies business,how much does it cost to make car freshies,552,"[512, 650, 390]",QUERY
2,car freshies business,how much are car freshies,551,"[512, 650, 390]",QUERY
3,car freshies business,how to make car freshies,550,"[512, 650, 390]",QUERY
4,car freshies diy to,how to make diy car freshies,601,"[22, 30]",QUERY
5,car freshies diy to,how to make car freshies step by step,600,"[512, 650, 390]",QUERY
6,car freshies diy to,how to make car freshies,550,"[512, 650, 390]",QUERY
7,car freshies diy kit,how to make diy car freshies,600,"[512, 650, 390]",QUERY
8,car freshies diy make,how to make diy car freshies,601,"[22, 30]",QUERY
9,car freshies diy make,how to make car freshies step by step,600,"[512, 650, 390]",QUERY
10,car freshies diy make,how to make car freshies,550,"[512, 650, 390]",QUERY
11,car freshies diy freshies,car freshies diy kit,601,"[512, 546]",QUERY
12,car freshies diy freshies,car freshies diy,600,"[512, 546]",QUERY
13,car freshies to car,how to make car freshies,550,"[512, 650, 390]",QUERY
14,car freshies to wholesale,car freshies wholesale,601,"[22, 30]",QUERY
15,car freshies to wholesale,car freshies wholesale supplies,600,"[22, 30]",QUERY
16,car freshies to wholesale,how to start making car freshies,552,"[512, 650, 390]",QUERY
17,car freshies to wholesale,how much are car freshies,551,"[512, 650, 390]",QUERY
18,car freshies to wholesale,how much does it cost to make car freshies,550,"[512, 650, 390]",QUERY
19,car freshies to kit,car freshies kit,601,"[22, 30]",QUERY
20,car freshies to kit,car freshies starter kit,600,"[22, 30]",QUERY
21,car freshies to kit,car freshies starter kit hobby lobby,553,"[22, 30]",QUERY
22,car freshies to kit,car freshies diy kit,552,"[22, 30]",QUERY
23,car freshies to kit,how to make car freshies for beginners,551,"[512, 650, 390]",QUERY
24,car freshies to kit,how to make car freshies,550,"[512, 650, 390]",QUERY
25,car freshies to for,car freshies for sale,601,"[22, 30]",QUERY
26,car freshies to for,car freshies for men,600,"[22, 30]",QUERY
27,car freshies to for,car freshies for beginners,553,"[22, 30]",QUERY
28,car freshies to for,car freshies for sale near me,552,"[22, 30]",QUERY
29,car freshies to for,how to make car freshies for beginners,551,"[22, 30]",QUERY
30,car freshies to for,how to make car freshies,550,"[512, 650, 390]",QUERY
31,car freshies to bulk,car freshies bulk,601,"[22, 30]",QUERY
32,car freshies to bulk,how much does it cost to make car freshies,600,"[512, 650, 390]",QUERY
33,car freshies to bulk,how to make car freshies,550,"[512, 650, 390]",QUERY
34,car freshies to names,car freshies names,601,"[22, 30]",QUERY
35,car freshies to names,car freshies business names,600,"[22, 30]",QUERY
36,car freshies to names,how to make car freshies,550,"[512, 650, 390]",QUERY
37,car freshies to beads,car freshies beads,600,"[22, 30]",QUERY
38,car freshies to beads,car freshies aroma beads,551,"[22, 30]",QUERY
39,car freshies to beads,how much aroma beads for car freshies,550,"[512, 650, 390]",QUERY
40,car freshies to men,car freshies men,601,"[22, 30]",QUERY
41,car freshies to men,what temp for car freshies,551,"[512, 650, 390]",QUERY
42,car freshies to men,how to make car freshies,550,"[512, 650, 390]",QUERY
43,car freshies to starter,car freshies starter kit,601,"[22, 30]",QUERY
44,car freshies to starter,car freshies starter kit hobby lobby,600,"[22, 30]",QUERY
45,car freshies to starter,how to make car freshies for beginners,552,"[512, 650, 390]",QUERY
46,car freshies to starter,how to make car freshies step by step,551,"[512, 650, 390]",QUERY
47,car freshies to starter,how to start making car freshies,550,"[512, 650, 390]",QUERY
48,car freshies to me,car freshies melting,601,"[22, 30]",QUERY
49,car freshies to me,car freshies measurements,600,"[22, 30]",QUERY
50,car freshies to me,car freshies men,552,"[22, 30]",QUERY
51,car freshies to me,car freshies near me,551,"[22, 30]",QUERY
52,car freshies to me,how to make car freshies,550,"[512, 650, 390]",QUERY
53,car freshies to make,car freshies how to make,601,"[22, 30]",QUERY
54,car freshies to make,how to make car freshies to sell,551,"[22, 30]",QUERY
55,car freshies to make,how to make car freshies step by step,550,"[512, 650, 390]",QUERY
56,car freshies to sale,car freshies for sale near me,600,"[22, 30]",QUERY
57,car freshies to sale,how much do car freshies sell for,554,"[512, 650, 390]",QUERY
58,car freshies to sale,how much to sell car freshies for,553,"[512, 650, 390]",QUERY
59,car freshies to sale,how to sell car freshies,552,"[512, 650, 390]",QUERY
60,car freshies to sale,how much are car freshies,551,"[512, 650, 390]",QUERY
61,car freshies to sale,how much does it cost to make car freshies,550,"[512, 650, 390]",QUERY
62,car freshies to guys,car freshies for guys,601,"[22, 30]",QUERY
63,car freshies to guys,how to make car freshies,600,"[512, 650, 390]",QUERY
64,car freshies to molds,car freshies molds,601,"[22, 30]",QUERY
65,car freshies to molds,what temp for car freshies,551,"[512, 650, 390]",QUERY
66,car freshies to molds,how to make car freshies,550,"[512, 650, 390]",QUERY
67,car freshies to freshies,car freshies tutorial,601,"[512, 546]",QUERY
68,car freshies to freshies,car freshies how to make,600,"[512, 546]",QUERY
69,car freshies to freshies,car freshies diy,550,"[512, 546]",QUERY
70,car freshies to scents,car freshies scents,601,"[22, 30]",QUERY
71,car freshies to scents,popular scents for car freshies,551,"[512, 650, 390]",QUERY
72,car freshies to how,car freshies how to make,601,"[22, 30]",QUERY
73,car freshies to how,car freshies how to,600,"[22, 30]",QUERY
74,car freshies to how,how to make car freshies to sell,551,"[22, 30]",QUERY
75,car freshies to how,how to make car freshies step by step,550,"[512, 650, 390]",QUERY
76,car freshies to near,car freshies near me,601,"[22, 30]",QUERY
77,car freshies to near,car freshies boutique near me,600,"[22, 30]",QUERY
78,car freshies to near,how much are car freshies,552,"[512, 650, 390]",QUERY
79,car freshies to near,how much does it cost to make car freshies,551,"[512, 650, 390]",QUERY
80,car freshies to near,how to make car freshies,550,"[512, 650, 390]",QUERY
81,car freshies to supplies,car freshies supplies,601,"[22, 30]",QUERY
82,car freshies to supplies,car freshies supplies list,600,"[22, 30]",QUERY
83,car freshies to supplies,where to buy car freshies supplies,551,"[22, 30]",QUERY
84,car freshies to supplies,supplies needed to make car freshies,550,"[512, 650, 390]",QUERY
85,car freshies to business,car freshies business names,601,"[22, 30]",QUERY
86,car freshies to business,car freshies business,600,"[22, 30]",QUERY
87,car freshies to business,how much does it cost to make car freshies,551,"[512, 650, 390]",QUERY
88,car freshies to business,how to make car freshies,550,"[512, 650, 390]",QUERY
89,car freshies car for,car freshies for vehicle,601,"[22, 30]",QUERY
90,car freshies car for,how much are car freshies,600,"[512, 650, 390]",QUERY
91,car freshies car for,how much does it cost to make car freshies,551,"[512, 650, 390]",QUERY
92,car freshies car for,how to make car freshies,550,"[512, 650, 390]",QUERY
93,car freshies car names,car freshies business names,601,"[512, 546]",QUERY
94,car freshies car me,car freshies melting,601,"[649, 546]",QUERY
95,car freshies car me,car freshies custom,600,"[649, 546]",QUERY
96,car freshies car me,car freshies for guys,551,"[512, 546]",QUERY
97,car freshies car me,car freshies cow,550,"[649, 546]",QUERY
98,car freshies car sale,car freshies for sale,601,"[512, 546]",QUERY
99,car freshies car sale,car freshies scents,600,"[512, 546]",QUERY
100,car freshies car sale,car freshies supplies,551,"[512, 546]",QUERY
101,car freshies car sale,car freshies amazon,550,"[649, 546]",QUERY
102,car freshies car freshies,car freshies tutorial,601,"[512, 546]",QUERY
103,car freshies car freshies,car freshies cow,600,"[649, 546]",QUERY
104,car freshies car freshies,car freshies for sale,551,"[512, 546]",QUERY
105,car freshies car freshies,car freshies designs,550,"[512, 546]",QUERY
106,car freshies car how,car freshies how to,601,"[512, 546]",QUERY
107,car freshies car how,car freshies how to make,600,"[512, 546]",QUERY
108,car freshies car how,car freshies tutorial,550,"[512, 546]",QUERY
109,car freshies car near,car freshies near me,601,"[512, 546]",QUERY
110,car freshies car near,car freshies for sale near me,600,"[649, 546]",QUERY
111,car freshies car near,who sells car freshies near me,551,"[512, 546]",QUERY
112,car freshies car near,where to buy car freshies near me,550,"[512, 546]",QUERY
113,car freshies car supplies,car freshies supplies,601,"[512, 546]",QUERY
114,car freshies car supplies,car freshies supplies wholesale,600,"[512, 546]",QUERY
115,car freshies car business,car freshies business names,600,"[512, 546]",QUERY
116,car freshies car business,car freshies bulk,550,"[512, 546]",QUERY
117,car freshies wholesale kit,car freshies wholesale,601,"[512, 546]",QUERY
118,car freshies wholesale kit,car freshies supplies wholesale,600,"[512, 546]",QUERY
119,car freshies wholesale kit,car freshies bulk,550,"[512, 546]",QUERY
120,car freshies wholesale bulk,car freshies in bulk,601,"[22, 30]",QUERY
121,car freshies wholesale bulk,how much does it cost to make car freshies,600,"[512, 650, 390]",QUERY
122,car freshies wholesale bulk,how much are car freshies,550,"[512, 650, 390]",QUERY
123,car freshies wholesale me,car freshies wholesale,601,"[512, 546]",QUERY
124,car freshies wholesale me,car freshies bulk,600,"[512, 546]",QUERY
125,car freshies wholesale me,car freshies supplies wholesale,550,"[512, 546]",QUERY
126,car freshies wholesale make,car freshies wholesale,601,"[512, 546]",QUERY
127,car freshies wholesale make,car freshies supplies wholesale,600,"[512, 546]",QUERY
128,car freshies wholesale make,car freshies bulk,550,"[512, 546]",QUERY
129,car freshies wholesale sale,how much do car freshies sell for,600,"[512, 650, 390]",QUERY
130,car freshies wholesale sale,how much are car freshies,552,"[512, 650, 390]",QUERY
131,car freshies wholesale sale,where to buy aroma beads for car freshies,551,"[512, 650, 390]",QUERY
132,car freshies wholesale sale,how to sell car freshies,550,"[512, 650, 390]",QUERY
133,car freshies wholesale freshies,car freshies wholesale,601,"[512, 546]",QUERY
134,car freshies wholesale freshies,car freshies supplies wholesale,600,"[512, 546]",QUERY
135,car freshies wholesale freshies,car freshies bulk,550,"[512, 546]",QUERY
136,car freshies wholesale supplies,supplies needed to make car freshies,601,"[512, 650, 390]",QUERY
137,car freshies wholesale supplies,supplies for car freshies,600,"[512, 650, 390]",QUERY
138,car freshies kit starter,car freshies starter kit,601,"[22, 30]",QUERY
139,car freshies kit starter,car freshies starter kit hobby lobby,600,"[22, 30]",QUERY
140,car freshies kit starter,how to make car freshies for beginners,551,"[512, 650, 390]",QUERY
141,car freshies kit starter,step by step how to make car freshies,550,"[512, 650, 390]",QUERY
142,car freshies kit make,how to make car freshies step by step,600,"[512, 650, 390]",QUERY
143,car freshies kit make,how much does it cost to make car freshies,550,"[512, 650, 390]",QUERY
144,car freshies kit freshies,car freshies kit,601,"[512, 546]",QUERY
145,car freshies kit freshies,car freshies diy kit,600,"[512, 546]",QUERY
146,car freshies kit scents,popular scents for car freshies,600,"[512, 650, 390]",QUERY
147,car freshies for bulk,car freshies bulk,601,"[22, 30]",QUERY
148,car freshies for bulk,how much does it cost to make car freshies,600,"[512, 650, 390]",QUERY
149,car freshies for bulk,how to make car freshies,550,"[512, 650, 390]",QUERY
150,car freshies for names,car freshies names,601,"[22, 30]",QUERY
151,car freshies for names,car freshies business names,600,"[22, 30]",QUERY
152,car freshies for names,how to make car freshies,550,"[512, 650, 390]",QUERY
153,car freshies for beads,car freshies beads,601,"[22, 30]",QUERY
154,car freshies for beads,car freshies aroma beads,550,"[22, 30]",QUERY
155,car freshies for men,how much are car freshies,553,"[512, 650, 390]",QUERY
156,car freshies for men,what temp for car freshies,552,"[512, 650, 390]",QUERY
157,car freshies for men,how much does it cost to make car freshies,551,"[512, 650, 390]",QUERY
158,car freshies for men,what are car freshies,550,"[512, 650, 390]",QUERY
159,car freshies for starter,car freshies for beginners,601,"[22, 30]",QUERY
160,car freshies for starter,car freshies starter kit,600,"[22, 30]",QUERY
161,car freshies for starter,car freshies starter kit hobby lobby,554,"[22, 30]",QUERY
162,car freshies for starter,how to make car freshies for beginners,553,"[512, 650, 390]",QUERY
163,car freshies for starter,how to start making car freshies,552,"[512, 650, 390]",QUERY
164,car freshies for starter,how to make car freshies step by step,551,"[512, 650, 390]",QUERY
165,car freshies for starter,how to make car freshies,550,"[512, 650, 390]",QUERY
166,car freshies for me,car freshies for men,1250,[512],QUERY
167,car freshies for me,car freshies melting,601,"[22, 30]",QUERY
168,car freshies for me,car freshies measurements,600,"[22, 30]",QUERY
169,car freshies for me,car freshies for sale near me,552,"[22, 30]",QUERY
170,car freshies for me,how much are car freshies,551,"[512, 650, 390]",QUERY
171,car freshies for me,how to make car freshies,550,"[512, 650, 390]",QUERY
172,car freshies for make,how to make car freshies for beginners,600,"[22, 30]",QUERY
173,car freshies for make,how to make car freshies,550,"[512, 650, 390]",QUERY
174,car freshies for sale,car freshies for sale near me,601,"[22, 30]",QUERY
175,car freshies for sale,how to display car freshies for sale,553,"[22, 30]",QUERY
176,car freshies for sale,how much are car freshies,552,"[512, 650, 390]",QUERY
177,car freshies for sale,how much do car freshies sell for,551,"[512, 650, 390]",QUERY
178,car freshies for sale,how much does it cost to make car freshies,550,"[512, 650, 390]",QUERY
179,car freshies for guys,how to make car freshies,600,"[512, 650, 390]",QUERY
180,car freshies for molds,car freshies molds,601,"[22, 30]",QUERY
181,car freshies for molds,what temp for car freshies,550,"[512, 650, 390]",QUERY
182,car freshies for freshies,car freshies for beginners,601,"[512, 546]",QUERY
183,car freshies for freshies,car freshies for sale,600,"[512, 546]",QUERY
184,car freshies for freshies,car freshies for guys,552,"[512, 546]",QUERY
185,car freshies for freshies,car freshies fragrance oil,551,"[512, 546]",QUERY
186,car freshies for freshies,car freshies diy,550,"[512, 546]",QUERY
187,car freshies for scents,car freshies scents,601,"[22, 30]",QUERY
188,car freshies for scents,popular scents for car freshies,550,"[512, 650, 390]",QUERY
189,car freshies for how,car freshies how to make,601,"[22, 30]",QUERY
190,car freshies for how,car freshies how to,600,"[22, 30]",QUERY
191,car freshies for how,how to make car freshies step by step,550,"[512, 650, 390]",QUERY
192,car freshies for near,car freshies for sale near me,601,"[22, 30]",QUERY
193,car freshies for near,car freshies boutique near me,600,"[22, 30]",QUERY
194,car freshies for near,how much are car freshies,552,"[512, 650, 390]",QUERY
195,car freshies for near,how much does it cost to make car freshies,551,"[512, 650, 390]",QUERY
196,car freshies for near,how to make car freshies,550,"[512, 650, 390]",QUERY
197,car freshies for supplies,car freshies supplies,601,"[22, 30]",QUERY
198,car freshies for supplies,car freshies supplies list,600,"[22, 30]",QUERY
199,car freshies for supplies,supplies needed to make car freshies,550,"[512, 650, 390]",QUERY
200,car freshies for business,car freshies business names,601,"[22, 30]",QUERY
201,car freshies for business,car freshies business,600,"[22, 30]",QUERY
202,car freshies for business,how much does it cost to make car freshies,551,"[512, 650, 390]",QUERY
203,car freshies for business,how to make car freshies,550,"[512, 650, 390]",QUERY
204,car freshies bulk names,car freshies bulk,601,"[512, 546]",QUERY
205,car freshies bulk names,car freshies business names,600,"[512, 546]",QUERY
206,car freshies bulk starter,car freshies bulk,601,"[512, 546]",QUERY
207,car freshies bulk starter,car freshies starter kit,600,"[512, 546]",QUERY
208,car freshies bulk me,car freshies bulk,601,"[512, 546]",QUERY
209,car freshies bulk me,car freshies wholesale,600,"[512, 546]",QUERY
210,car freshies bulk make,car freshies bulk,601,"[512, 546]",QUERY
211,car freshies bulk make,car freshies wholesale,600,"[512, 546]",QUERY
212,car freshies bulk sale,how much do car freshies sell for,600,"[512, 650, 390]",QUERY
213,car freshies bulk sale,how much are car freshies,552,"[512, 650, 390]",QUERY
214,car freshies bulk sale,how much does it cost to make car freshies,551,"[512, 650, 390]",QUERY
215,car freshies bulk sale,how much to sell car freshies for,550,"[512, 650, 390]",QUERY
216,car freshies bulk guys,car freshies bulk,601,"[512, 546]",QUERY
217,car freshies bulk guys,car freshies wholesale,550,"[512, 546]",QUERY
218,car freshies bulk molds,how much does it cost to make car freshies,550,"[512, 650, 390]",QUERY
219,car freshies bulk freshies,car freshies bulk,601,"[512, 546]",QUERY
220,car freshies bulk freshies,car freshies wholesale,600,"[512, 546]",QUERY
221,car freshies bulk how,car freshies bulk,601,"[512, 546]",QUERY
222,car freshies bulk how,car freshies wholesale,600,"[512, 546]",QUERY
223,car freshies bulk supplies,car freshies wholesale supplies,601,"[22, 30]",QUERY
224,car freshies bulk supplies,supplies needed to make car freshies,600,"[512, 650, 390]",QUERY
225,car freshies bulk supplies,supplies for car freshies,550,"[512, 650, 390]",QUERY
226,car freshies bulk business,car freshies bulk,601,"[512, 546]",QUERY
227,car freshies bulk business,car freshies wholesale,600,"[512, 546]",QUERY
228,car freshies names freshies,car freshies business names,601,"[512, 546]",QUERY
229,car freshies names supplies,car freshies supplies list,601,"[22, 30]",QUERY
230,car freshies names supplies,supplies for car freshies,600,"[512, 650, 390]",QUERY
231,car freshies names supplies,supplies needed to make car freshies,551,"[512, 650, 390]",QUERY
232,car freshies names supplies,how to make car freshies,550,"[512, 650, 390]",QUERY
233,car freshies names business,car freshies business names,601,"[22, 30]",QUERY
234,car freshies beads starter,car freshies starter kit,601,"[512, 546]",QUERY
235,car freshies beads starter,car freshies beads,600,"[512, 546]",QUERY
236,car freshies beads me,car freshies beads,601,"[512, 546]",QUERY
237,car freshies beads me,car freshies melting,600,"[649, 546]",QUERY
238,car freshies beads sale,car freshies beads,601,"[512, 546]",QUERY
239,car freshies beads sale,car freshies supplies,600,"[512, 546]",QUERY
240,car freshies beads guys,car freshies beads,601,"[512, 546]",QUERY
241,car freshies beads guys,car freshies for beginners,600,"[512, 546]",QUERY
242,car freshies beads guys,car freshies for guys,550,"[512, 546]",QUERY
243,car freshies beads freshies,car freshies beads,601,"[512, 546]",QUERY
244,car freshies beads freshies,car freshies for beginners,600,"[512, 546]",QUERY
245,car freshies beads scents,making car freshies with aroma beads,600,"[512, 650, 390]",QUERY
246,car freshies beads scents,how much aroma beads for car freshies,551,"[512, 650, 390]",QUERY
247,car freshies beads scents,popular scents for car freshies,550,"[512, 650, 390]",QUERY
248,car freshies beads near,car freshies beads,601,"[512, 546]",QUERY
249,car freshies beads near,car freshies near me,600,"[512, 546]",QUERY
250,car freshies beads business,car freshies beads,601,"[512, 546]",QUERY
251,car freshies beads business,car freshies for beginners,600,"[512, 546]",QUERY
252,car freshies starter sale,car freshies starter kit,601,"[512, 546]",QUERY
253,car freshies starter sale,car freshies starter kit hobby lobby,550,"[512, 546]",QUERY
254,car freshies starter freshies,car freshies starter kit,601,"[512, 546]",QUERY
255,car freshies starter supplies,car freshies starter kit,601,"[22, 30]",QUERY
256,car freshies starter supplies,car freshies starter kit hobby lobby,600,"[22, 30]",QUERY
257,car freshies starter supplies,supplies needed to make car freshies,552,"[512, 650, 390]",QUERY
258,car freshies starter supplies,supplies for car freshies,551,"[512, 650, 390]",QUERY
259,car freshies starter supplies,how to make car freshies for beginners,550,"[512, 650, 390]",QUERY
260,car freshies me sale,car freshies for sale near me,601,"[22, 30]",QUERY
261,car freshies me sale,how much are car freshies,600,"[512, 650, 390]",QUERY
262,car freshies me sale,how much do car freshies sell for,553,"[512, 650, 390]",QUERY
263,car freshies me sale,how much to sell car freshies for,552,"[512, 650, 390]",QUERY
264,car freshies me sale,how much does it cost to make car freshies,551,"[512, 650, 390]",QUERY
265,car freshies me sale,how to sell car freshies,550,"[512, 650, 390]",QUERY
266,car freshies me freshies,car freshies melting,601,"[649, 546]",QUERY
267,car freshies me freshies,car freshies near me,600,"[512, 546]",QUERY
268,car freshies me freshies,car freshies for guys,550,"[512, 546]",QUERY
269,car freshies me near,car freshies near me,601,"[22, 30]",QUERY
270,car freshies me near,car freshies boutique near me,600,"[22, 30]",QUERY
271,car freshies me near,how much are car freshies,552,"[512, 650, 390]",QUERY
272,car freshies me near,how much does it cost to make car freshies,551,"[512, 650, 390]",QUERY
273,car freshies me near,how to make car freshies,550,"[512, 650, 390]",QUERY
274,car freshies make freshies,car freshies melting,601,"[649, 546]",QUERY
275,car freshies make freshies,car freshies how to make,600,"[512, 546]",QUERY
276,car freshies make how,car freshies how to make,601,"[22, 30]",QUERY
277,car freshies make how,how to make car freshies step by step,600,"[512, 650, 390]",QUERY
278,car freshies sale freshies,car freshies for sale,601,"[512, 546]",QUERY
279,car freshies sale freshies,car freshies scents,600,"[512, 546]",QUERY
280,car freshies sale freshies,car freshies supplies,551,"[512, 546]",QUERY
281,car freshies sale freshies,car freshies wholesale,550,"[512, 546]",QUERY
282,car freshies sale near,car freshies for sale near me,601,"[22, 30]",QUERY
283,car freshies sale near,how much are car freshies,600,"[512, 650, 390]",QUERY
284,car freshies sale near,how much do car freshies sell for,552,"[512, 650, 390]",QUERY
285,car freshies sale near,how much does it cost to make car freshies,551,"[512, 650, 390]",QUERY
286,car freshies sale near,where can i buy car freshies,550,"[512, 650, 390]",QUERY
287,car freshies guys freshies,car freshies for guys,601,"[512, 546]",QUERY
288,car freshies guys freshies,car freshies for sale,600,"[512, 546]",QUERY
289,car freshies guys freshies,car freshies for beginners,552,"[512, 546]",QUERY
290,car freshies guys freshies,car freshies fragrance oil,551,"[512, 546]",QUERY
291,car freshies guys freshies,car freshies tutorial,550,"[512, 546]",QUERY
292,car freshies molds freshies,car freshies mold,601,"[512, 546]",QUERY
293,car freshies molds supplies,car freshies molds,601,"[512, 546]",QUERY
294,car freshies molds business,car freshies molds,600,"[512, 546]",QUERY
295,car freshies freshies how,car freshies how to,601,"[512, 546]",QUERY
296,car freshies freshies how,car freshies how to make,600,"[512, 546]",QUERY
297,car freshies freshies how,car freshies tutorial,551,"[512, 546]",QUERY
298,car freshies freshies how,car freshies recipe,550,"[512, 546]",QUERY
299,car freshies freshies near,car freshies near me,601,"[512, 546]",QUERY
300,car freshies freshies near,car freshies for sale near me,600,"[649, 546]",QUERY
301,car freshies freshies supplies,car freshies supplies wholesale,601,"[512, 546]",QUERY
302,car freshies freshies supplies,car freshies supplies,600,"[512, 546]",QUERY
303,car freshies freshies business,car freshies bulk,601,"[512, 546]",QUERY
304,car freshies freshies business,car freshies business names,550,"[512, 546]",QUERY
305,car freshies how near,car freshies near me,601,"[22, 30]",QUERY
306,car freshies how near,car freshies boutique near me,600,"[22, 30]",QUERY
307,car freshies how near,how much does it cost to make car freshies,552,"[512, 650, 390]",QUERY
308,car freshies how near,how much are car freshies,551,"[512, 650, 390]",QUERY
309,car freshies how near,where to buy car freshies near me,550,"[512, 650, 390]",QUERY
310,car freshies how supplies,car freshies supplies,601,"[22, 30]",QUERY
311,car freshies how supplies,car freshies supplies list,600,"[22, 30]",QUERY
312,car freshies how supplies,supplies needed to make car freshies,551,"[512, 650, 390]",QUERY
313,car freshies how supplies,how to make car freshies step by step,550,"[512, 650, 390]",QUERY
314,car freshies how business,car freshies business names,601,"[22, 30]",QUERY
315,car freshies how business,car freshies business,600,"[22, 30]",QUERY
316,car freshies how business,how to make car freshies step by step,551,"[512, 650, 390]",QUERY
317,car freshies how business,how much does it cost to make car freshies,550,"[512, 650, 390]",QUERY
318,car freshies near supplies,supplies needed to make car freshies,600,"[512, 650, 390]",QUERY
